* ******************************************************************************

* iCEcube Pin Table

* Version:            2013.12.25022

* Build Date:         Dec 18 2013 15:14:20

* File Generated:     Mar 6 2014 12:14:31

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40LP8K
Package, CM225

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, o_sdram_wen, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
H11, PIO, o_data[24], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
H12, PIO_GBIN, o_data[21], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
H13, PIO, o_data[22], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
H14, PIO, o_data[23], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
H15, VCC, not used, , , , , , UnknownBank
J1, PIO, io_sdram_dq[9], InOut, , SB_LVCMOS, No Pull Up, Input Registered Output Tristatable by Enable, leftBank
J2, PIO, io_sdram_dq[7], InOut, , SB_LVCMOS, No Pull Up, Input Registered Output Tristatable by Enable, leftBank
J3, PIO, io_sdram_dq[4], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
J4, PIO, io_sdram_dq[6], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
J5, PIO, io_sdram_dq[8], InOut, , SB_LVCMOS, No Pull Up, Input Registered Output Tristatable by Enable, leftBank
J6, VCCIO_3, not used, , , , , , leftBank
J7, GND, not used, , , , , , UnknownBank
J8, GND, not used, , , , , , UnknownBank
J9, GND, not used, , , , , , UnknownBank
J10, PIO, o_data[6], Output, , SB_LVCMOS, No Pull Up, Output Registered, rightBank
J11, PIO, o_data[29], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
J12, PIO, o_data[4], Output, , SB_LVCMOS, No Pull Up, Output Registered, rightBank
J13, PIO, o_data[28], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
J14, PIO, o_data[25], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
J15, PIO, o_data[26], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
K1, PIO, o_busy, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
K2, GND, not used, , , , , , UnknownBank
K3, PIO, i_precharge_req, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
K4, PIO, i_adv, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
K5, PIO, i_burststop_req, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
K6, VCC, not used, , , , , , UnknownBank
K7, GND, not used, , , , , , UnknownBank
K8, VCCIO_2, not used, , , , , , bottomBank
K9, PIO, not used, , , , , , bottomBank
K10, VCC, not used, , , , , , UnknownBank
K11, PIO, not used, , , , , , bottomBank
K12, PIO, o_data[8], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
K13, PIO, o_data[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
K14, PIO, o_data[27], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
K15, PIO, o_data[3], Output, , SB_LVCMOS, No Pull Up, Output Registered, rightBank
L1, PIO, i_addr[10], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
L2, VCC, not used, , , , , , UnknownBank
L3, PIO, i_loadmod_req, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
L4, PIO, i_disable_autorefresh, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
L5, PIO, not used, , , , , , bottomBank
L6, PIO, not used, , , , , , bottomBank
L7, PIO, not used, , , , , , bottomBank
L8, AVDD_BOT, not used, , , , , , UnknownBank
L9, PIO_GBIN, not used, , , , , , bottomBank
L10, PIO, not used, , , , , , bottomBank
L11, SPI_SI, not used, , , , , , bottomBank
L12, PIO, o_sdram_addr[12], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
L13, PIO, o_data[5], Output, , SB_LVCMOS, No Pull Up, Output Registered, rightBank
L14, PIO, o_data[31], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
L15, GND, not used, , , , , , UnknownBank
M1, PIO, i_rwn, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
M2, PIO, i_selfrefresh_req, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
M3, PIO, i_disable_active, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
M4, PIO, i_disable_precharge, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
M5, PIO, not used, , , , , , bottomBank
M6, PIO, not used, , , , , , bottomBank
M7, PIO, not used, , , , , , bottomBank
M8, PIO, not used, , , , , , bottomBank
M9, PIO, not used, , , , , , bottomBank
M10, CDONE, not used, , , , , , bottomBank
M11, SPI_SO, not used, , , , , , bottomBank
M12, SPI_SS_B, not used, , , , , , bottomBank
M13, PIO, o_data[9], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
M14, PIO, o_data[30], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
M15, PIO, o_sdram_csn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
N1, VCCIO_3, not used, , , , , , leftBank
N2, PIO, i_addr[20], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
N3, PIO, not used, , , , , , bottomBank
N4, PIO, not used, , , , , , bottomBank
N5, PIO, not used, , , , , , bottomBank
N6, PIO, not used, , , , , , bottomBank
N7, PIO_GBIN, not used, , , , , , bottomBank
N8, AGND_BOT, not used, , , , , , UnknownBank
N9, PIO, not used, , , , , , bottomBank
N10, PIO, not used, , , , , , bottomBank
N11, CRESET_B, not used, , , , , , bottomBank
N12, SPI_SCK, not used, , , , , , bottomBank
N13, VDDIO_SPI, not used, , , , , , bottomBank
N14, TRST_B, not used, , , , , , rightBank
N15, VCCIO_1, not used, , , , , , rightBank
P1, PIO, i_power_down, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
P2, PIO, not used, , , , , , bottomBank
P3, VCCIO_2, not used, , , , , , bottomBank
P4, PIO, not used, , , , , , bottomBank
P5, PIO, not used, , , , , , bottomBank
P6, PIO, not used, , , , , , bottomBank
P7, PIO, not used, , , , , , bottomBank
P8, PIO, not used, , , , , , bottomBank
P9, PIO, not used, , , , , , bottomBank
P10, PIO, not used, , , , , , bottomBank
P11, PIO, not used, , , , , , bottomBank
P12, PIO, not used, , , , , , bottomBank
P13, PIO, not used, , , , , , bottomBank
P14, PIO, o_sdram_dqm[2], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
P15, PIO, not used, , , , , , rightBank
R1, PIO, not used, , , , , , bottomBank
R2, PIO, not used, , , , , , bottomBank
R3, PIO, not used, , , , , , bottomBank
R4, PIO, not used, , , , , , bottomBank
R5, PIO, not used, , , , , , bottomBank
R6, PIO, not used, , , , , , bottomBank
R7, GND, not used, , , , , , UnknownBank
R8, VCC, not used, , , , , , UnknownBank
R9, PIO, not used, , , , , , bottomBank
R10, PIO, not used, , , , , , bottomBank
R11, PIO, not used, , , , , , bottomBank
R12, PIO, not used, , , , , , bottomBank
R13, VCCIO_2, not used, , , , , , bottomBank
R14, PIO, o_sdram_dqm[3], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
R15, PIO, not used, , , , , , rightBank
Total Number of Used Pins, 130
